"escuela","n_est","cuant","recursos","eta","a1","a2","a3","a4","a5","a6","a7","a8","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10"
"E001",122,0.520589072918523,1.33689257455037,-0.780894005673907,0.5,0.0737704918032787,0.368852459016393,0.122950819672131,0.0819672131147541,0.0819672131147541,0.295081967213115,0.0737704918032787,0.852459016393443,0.163934426229508,0.450819672131148,0.311475409836066,0.262295081967213,0,0.122950819672131,0.590163934426229,0.475409836065574,0.0245901639344262
"E002",120,-1.07969076235228,0.552710403069674,-0.701239382678204,0.875,0.325,0.241666666666667,0.808333333333333,0.125,0.075,0.075,0.0333333333333333,0.716666666666667,0.325,0.1,0.716666666666667,0.0666666666666667,0.0416666666666667,0.333333333333333,0.991666666666667,0.341666666666667,0.383333333333333
"E003",42,0.139238115019273,-1.05652641739161,-1.29690566328357,0.904761904761905,0.0714285714285714,0.380952380952381,0.761904761904762,0.0238095238095238,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.880952380952381,0.238095238095238,0.404761904761905,0.333333333333333,0.0714285714285714,0.0714285714285714,0.0476190476190476,0.904761904761905,0.214285714285714,0.380952380952381
"E004",95,-0.0847487849485765,-0.190182994643526,-1.01852617906619,0.778947368421053,0.0421052631578947,0.484210526315789,0.147368421052632,0.0210526315789474,0.284210526315789,0.0842105263157895,0.126315789473684,0.947368421052632,0.831578947368421,0.0947368421052632,0.0526315789473684,0.0736842105263158,0,0.452631578947368,1,0.368421052631579,0.115789473684211
"E005",171,-0.666639615284596,-0.909224176086877,0.106793532024065,0.988304093567251,0.16374269005848,0.286549707602339,0.228070175438596,0.0116959064327485,0.087719298245614,0.198830409356725,0.064327485380117,0.994152046783626,0.678362573099415,0.157894736842105,0.567251461988304,0.140350877192982,0.0116959064327485,0.0175438596491228,0.994152046783626,0.286549707602339,0.128654970760234
"E006",55,-2.51608903200946,-2.00091550631878,-1.98506501966941,0.709090909090909,0.127272727272727,0.272727272727273,0.0727272727272727,0.0181818181818182,0.236363636363636,0.163636363636364,0,0.727272727272727,0.254545454545455,0.363636363636364,0,0.0727272727272727,0.0181818181818182,0.509090909090909,0.981818181818182,0.163636363636364,0.0181818181818182
"E007",134,-0.735146797456677,1.90897086539068,1.21166007643156,0.925373134328358,0.559701492537313,0.73134328358209,0.776119402985075,0.26865671641791,0.873134328358209,0.194029850746269,0.0746268656716418,0.977611940298508,0.925373134328358,0.171641791044776,0.343283582089552,0.940298507462687,0.0597014925373134,0,0.962686567164179,0.477611940298507,0.156716417910448
"E008",200,-1.02012226313509,1.56898020541778,0.272904988199831,0.93,0.485,0.84,0.725,0.7,0.135,0.16,0.125,0.905,0.97,0.5,0.46,0.24,0.01,0.005,0.97,0.395,0.39
"E009",110,0.113554441297307,0.140301225311454,0.131001843274872,0.909090909090909,0.409090909090909,0.327272727272727,0.836363636363636,0.218181818181818,0.163636363636364,0.354545454545455,0.254545454545455,0.836363636363636,0.7,0.536363636363636,0.327272727272727,0.245454545454545,0.0454545454545455,0.1,0.918181818181818,0.227272727272727,0.145454545454545
"E010",41,-0.473790981840095,-1.42055946460262,0.816465309822309,0.975609756097561,0.414634146341463,0.780487804878049,0.439024390243902,0.170731707317073,0.365853658536585,0.0731707317073171,0.195121951219512,0.975609756097561,0.853658536585366,0.48780487804878,0.853658536585366,0.439024390243902,0,0.121951219512195,0.951219512195122,0.317073170731707,0.292682926829268
